Cur_Abbreviation,Cur_Scale,Cur_Name,Cur_OfficialRate
AUD,1,Австралийский доллар,1.7647
BGN,1,Болгарский лев,1.4792
UAH,100,Гривен,8.8567
DKK,10,Датских крон,3.8835
USD,1,Доллар США,2.4482
EUR,1,Евро,2.8971
PLN,10,Злотых,6.5577
IRR,100000,Иранских риалов,5.829
ISK,100,Исландских крон,1.8059
JPY,100,Йен,2.3172
CAD,1,Канадский доллар,1.8319
CNY,10,Китайских юаней,3.519
KWD,1,Кувейтский динар,8.0085
MDL,10,Молдавских леев,1.4793
NZD,1,Новозеландский доллар,1.6283
NOK,10,Норвежских крон,2.7159
RUB,100,Российских рублей,3.3249
XDR,1,СДР (Специальные права заимствования),3.4589
SGD,1,Сингапурcкий доллар,1.7854
KGS,100,Сомов,3.1733
KZT,1000,Тенге,5.83
TRY,10,Турецких лир,3.3372
GBP,1,Фунт стерлингов,3.2049
CZK,100,Чешских крон,11.0036
SEK,10,Шведских крон,2.8056
CHF,1,Швейцарский франк,2.6788
